"","date","samsung_s","oppo_find","iphone","xiomi"
"1",2022-11-27,0,0,0,0
"2",2022-12-04,0,0,0,0
"3",2022-12-11,0,0,0,0
"4",2022-12-18,0,0,0,0
"5",2022-12-25,0,0,0,0
"6",2023-01-01,9,29,3,8
"7",2023-01-08,17,21,2,11
"8",2023-01-15,16,19,2,4
"9",2023-01-22,17,19,2,10
"10",2023-01-29,100,16,2,5
"11",2023-02-05,88,15,2,11
"12",2023-02-12,74,18,2,6
"13",2023-02-19,59,19,2,11
"14",2023-02-26,42,18,2,12
"15",2023-03-05,36,37,3,17
"16",2023-03-12,36,100,2,9
"17",2023-03-19,36,86,2,10
"18",2023-03-26,34,52,2,15
"19",2023-04-02,30,46,2,14
"20",2023-04-09,0,0,0,0
"21",2023-04-16,30,25,3,4
"22",2023-04-23,31,24,3,9
"23",2023-04-30,36,21,3,10
"24",2023-05-07,0,0,0,0
"25",2023-05-14,27,18,3,4
"26",2023-05-21,0,0,0,0
"27",2023-05-28,0,0,0,0
"28",2023-06-04,37,20,5,8
"29",2023-06-11,31,19,5,10
"30",2023-06-18,0,0,0,0
"31",2023-06-25,0,0,0,0
"32",2023-07-02,32,16,5,4
"33",2023-07-09,34,16,5,9
"34",2023-07-16,0,0,0,0
"35",2023-07-23,37,16,5,8
"36",2023-07-30,41,19,6,12
"37",2023-08-06,0,0,0,0
"38",2023-08-13,0,0,0,0
"39",2023-08-20,0,0,0,0
"40",2023-08-27,37,11,10,12
"41",2023-09-03,35,13,13,15
"42",2023-09-10,48,14,100,15
"43",2023-09-17,0,0,0,0
"44",2023-09-24,50,19,58,12
"45",2023-10-01,0,0,0,0
"46",2023-10-08,0,0,0,0
"47",2023-10-15,56,30,22,29
"48",2023-10-22,0,0,0,0
"49",2023-10-29,51,39,18,100
"50",2023-11-05,46,31,19,83
"51",2023-11-12,45,22,17,61
"52",2023-11-19,47,22,19,68
